area_code,area_name,tier,Cases rate,Cases growth rate,Cases among those aged 60+,Covid-19 hospital bed occupancy,24H Covid-19 hospital admissions,Positivity rate
E07000113,Swale,Tier 3,535.707,0.865,353.8,28.524,5.466,17.417
E07000114,Thanet,Tier 3,493.933,0.954,322.2,15.925,2.403,11.648
E06000010,"Kingston upon Hull, City of",Tier 3,490.804,0.651,418.3,31.361,3.135,15.026
E07000137,East Lindsey,Tier 3,443.811,0.778,537.1,42.858,4.344,14.757
E06000021,Stoke-on-Trent,Tier 3,434.520,0.762,358.0,47.786,5.776,12.759
E07000120,Hyndburn,Tier 3,433.103,1.067,334.4,51.614,7.878,14.742
E06000035,Medway,Tier 3,430.434,1.347,321.8,33.094,6.529,13.580
E07000136,Boston,Tier 3,430.365,0.899,305.9,41.824,4.378,13.662
E08000027,Dudley,Tier 3,425.378,0.738,298.3,37.828,4.116,15.310
E07000135,Oadby and Wigston,Tier 3,422.696,0.803,300.7,27.281,2.984,11.708
E08000028,Sandwell,Tier 3,420.460,0.816,350.6,44.965,3.670,16.027
E07000195,Newcastle-under-Lyme,Tier 3,406.363,0.869,387.7,46.771,5.607,11.602
E08000034,Kirklees,Tier 3,401.103,0.727,282.7,39.657,3.807,16.816
E06000016,Leicester,Tier 3,400.029,0.763,361.0,27.358,2.994,13.588
E06000012,North East Lincolnshire,Tier 3,394.828,0.744,384.6,44.924,4.117,13.693
E07000109,Gravesham,Tier 3,390.877,1.259,333.4,18.656,2.400,14.609
E08000004,Oldham,Tier 3,388.849,0.700,329.5,48.598,3.181,15.249
E06000001,Hartlepool,Tier 3,387.560,0.640,281.8,51.768,5.226,15.972
E07000193,East Staffordshire,Tier 3,383.286,0.836,261.7,34.526,3.403,12.797
E08000032,Bradford,Tier 3,379.417,0.732,319.3,39.865,5.337,14.709
E06000013,North Lincolnshire,Tier 3,371.462,0.809,333.7,43.968,4.038,13.864
E07000117,Burnley,Tier 3,362.123,0.868,251.3,51.531,7.919,13.808
E08000005,Rochdale,Tier 3,361.941,0.697,323.8,49.490,3.237,14.831
E08000031,Wolverhampton,Tier 3,351.994,0.942,304.7,37.055,3.944,12.178
E06000003,Redcar and Cleveland,Tier 3,349.982,0.716,244.6,26.620,3.494,13.275
E07000199,Tamworth,Tier 3,349.432,0.807,272.2,35.623,3.655,14.429
E08000023,South Tyneside,Tier 3,347.737,0.837,294.3,33.131,3.419,13.534
E06000004,Stockton-on-Tees,Tier 3,347.609,0.749,266.6,49.934,5.129,16.026
E08000025,Birmingham,Tier 3,343.138,0.891,294.1,33.300,3.248,14.079
E07000129,Blaby,Tier 3,342.769,0.744,203.1,26.584,2.930,14.822
E06000008,Blackburn with Darwen,Tier 3,342.027,0.618,333.3,51.169,7.730,14.881
E08000036,Wakefield,Tier 3,341.361,0.711,250.2,55.974,5.094,13.139
E08000030,Walsall,Tier 3,333.826,0.795,205.6,47.568,4.548,13.319
E08000033,Calderdale,Tier 3,333.404,0.676,245.4,26.651,2.787,13.881
E07000197,Stafford,Tier 3,332.168,0.801,280.0,45.161,5.423,10.176
E07000138,Lincoln,Tier 3,331.323,0.721,166.4,42.379,4.422,11.458
E06000002,Middlesbrough,Tier 3,327.706,0.698,246.8,27.040,3.537,11.641
E06000023,"Bristol, City of",Tier 3,325.005,0.668,263.5,21.626,2.359,12.945
E07000196,South Staffordshire,Tier 3,322.850,0.689,255.4,39.005,4.199,13.172
E08000021,Newcastle upon Tyne,Tier 3,320.983,0.715,322.6,19.310,1.903,13.493
E07000219,Nuneaton and Bedworth,Tier 3,320.288,0.849,258.3,22.042,3.068,10.990
E07000194,Lichfield,Tier 3,315.972,0.763,215.1,36.231,3.632,11.668
E08000002,Bury,Tier 3,314.153,0.673,178.4,48.311,3.348,13.349
E06000039,Slough,Tier 3,313.631,0.878,218.8,10.786,1.543,12.840
E07000125,Rossendale,Tier 3,313.366,0.772,147.1,50.927,6.816,12.702
E07000171,Bassetlaw,Tier 3,309.895,0.743,275.9,38.859,3.566,11.610
E06000005,Darlington,Tier 3,308.044,0.922,269.8,34.297,5.157,11.483
E08000001,Bolton,Tier 3,305.338,0.690,209.0,43.584,3.745,15.118
E07000122,Pendle,Tier 3,305.063,0.677,243.2,51.089,8.218,14.212
E08000010,Wigan,Tier 3,304.264,0.699,265.9,41.401,4.043,13.179
E07000033,Bolsover,Tier 3,301.631,0.706,278.0,27.188,3.074,10.881
E07000218,North Warwickshire,Tier 3,297.254,0.716,314.2,26.102,3.290,10.624
E08000037,Gateshead,Tier 3,290.515,0.706,237.1,40.341,3.638,11.379
E08000022,North Tyneside,Tier 3,287.620,0.672,260.1,30.975,3.204,11.517
E07000134,North West Leicestershire,Tier 3,287.614,0.685,259.7,29.930,3.049,11.777
E06000011,East Riding of Yorkshire,Tier 3,287.244,0.629,218.2,31.361,3.065,10.751
E08000024,Sunderland,Tier 3,286.275,0.692,232.6,34.802,3.646,11.437
E07000131,Harborough,Tier 3,284.627,0.856,173.8,25.239,2.674,12.597
E07000174,Mansfield,Tier 3,281.760,0.844,217.5,28.909,2.926,10.941
E06000047,County Durham,Tier 3,281.460,0.709,218.8,35.594,4.796,11.712
E07000039,South Derbyshire,Tier 3,280.624,0.710,169.9,32.920,3.190,12.228
E07000108,Dover,Tier 3,278.504,1.290,191.5,15.626,2.358,8.462
E07000032,Amber Valley,Tier 3,274.685,0.634,274.6,32.871,3.204,11.333
E07000198,Staffordshire Moorlands,Tier 3,274.293,0.646,222.3,44.688,5.256,10.531
E08000035,Leeds,Tier 3,273.470,0.621,259.0,36.457,3.530,13.437
E07000110,Maidstone,Tier 3,272.951,1.158,206.8,16.375,2.550,9.032
E08000016,Barnsley,Tier 3,272.618,0.676,242.1,54.916,5.064,11.888
E07000133,Melton,Tier 3,269.484,0.676,137.8,30.208,3.114,11.867
E07000107,Dartford,Tier 3,269.080,0.858,199.1,17.332,2.103,12.037
E06000015,Derby,Tier 3,268.945,0.644,198.5,34.498,3.318,11.861
E07000123,Preston,Tier 3,267.580,0.655,248.5,34.240,3.242,10.609
E08000006,Salford,Tier 3,260.012,0.576,201.1,44.822,3.768,14.068
E07000192,Cannock Chase,Tier 3,258.034,0.724,221.6,41.142,4.477,8.782
E07000170,Ashfield,Tier 3,257.196,0.848,162.1,30.092,2.891,9.983
E08000029,Solihull,Tier 3,255.576,0.782,171.4,34.078,3.561,10.536
E08000008,Tameside,Tier 3,250.339,0.630,163.0,39.123,2.796,11.170
E08000003,Manchester,Tier 3,249.974,0.666,317.5,31.438,2.261,12.116
E08000018,Rotherham,Tier 3,247.917,0.658,225.6,58.751,4.681,10.943
E08000017,Doncaster,Tier 3,243.996,0.684,197.8,39.890,3.661,11.737
E07000132,Hinckley and Bosworth,Tier 3,242.186,0.743,137.8,25.487,2.991,10.896
E06000057,Northumberland,Tier 3,241.290,0.826,159.6,33.465,3.475,8.837
E07000130,Charnwood,Tier 3,238.363,0.615,167.1,26.895,2.888,11.937
E07000038,North East Derbyshire,Tier 3,236.542,0.889,196.0,26.110,3.093,9.506
E07000106,Canterbury,Tier 3,235.801,0.915,157.5,15.705,2.374,8.515
E08000019,Sheffield,Tier 3,233.734,0.787,186.3,38.287,2.695,10.902
E06000025,South Gloucestershire,Tier 3,232.205,0.672,160.0,23.975,2.591,11.228
E07000119,Fylde,Tier 3,226.541,0.741,217.5,47.353,5.058,9.862
E07000036,Erewash,Tier 3,224.493,0.669,229.7,34.794,3.155,11.067
E07000139,North Kesteven,Tier 3,221.528,0.715,216.3,41.134,4.283,9.137
E07000142,West Lindsey,Tier 3,216.376,0.772,197.0,42.669,4.303,8.592
E07000220,Rugby,Tier 3,215.725,0.756,174.1,14.240,1.858,7.880
E06000024,North Somerset,Tier 3,210.647,0.693,128.3,20.389,2.250,7.463
E07000118,Chorley,Tier 3,210.631,0.750,137.4,34.583,3.301,9.934
E06000009,Blackpool,Tier 3,210.117,0.691,217.3,50.933,5.514,8.976
E08000007,Stockport,Tier 3,208.573,0.629,135.7,38.833,2.089,10.655
E07000115,Tonbridge and Malling,Tier 3,208.092,1.026,185.8,16.061,2.484,8.439
E06000018,Nottingham,Tier 3,204.866,0.781,205.0,34.033,2.797,10.837
E07000173,Gedling,Tier 3,201.025,0.787,228.8,34.399,2.864,10.326
E07000124,Ribble Valley,Tier 3,200.368,0.632,149.7,46.607,6.726,9.982
E08000026,Coventry,Tier 3,199.720,0.699,126.4,14.299,1.869,8.979
E07000175,Newark and Sherwood,Tier 3,196.045,0.789,151.1,30.854,3.030,8.916
E07000141,South Kesteven,Tier 3,188.873,0.841,146.3,27.842,2.914,7.698
E07000222,Warwick,Tier 3,188.518,0.757,176.8,10.578,1.378,7.407
E07000176,Rushcliffe,Tier 3,183.749,0.849,146.3,33.534,2.785,8.447
E07000037,High Peak,Tier 3,182.375,0.631,164.9,38.544,2.519,9.404
E07000112,Folkestone and Hythe,Tier 3,182.307,1.138,146.9,15.697,2.364,6.559
E07000127,West Lancashire,Tier 3,180.218,0.640,129.2,41.360,3.254,7.839
E07000034,Chesterfield,Tier 3,178.265,0.550,169.3,24.346,3.145,8.837
E08000009,Trafford,Tier 3,170.631,0.502,137.1,27.777,2.120,10.964
E07000172,Broxtowe,Tier 3,165.741,0.719,146.0,34.248,2.851,9.029
E07000035,Derbyshire Dales,Tier 3,163.152,0.698,83.7,29.380,3.129,7.701
E07000111,Sevenoaks,Tier 3,159.834,0.814,145.0,15.437,2.057,8.320
E07000140,South Holland,Tier 3,152.601,0.694,86.0,28.433,2.930,6.269
E07000128,Wyre,Tier 3,152.555,0.638,143.8,48.114,4.851,7.136
E07000105,Ashford,Tier 3,126.892,0.971,67.9,15.535,2.338,5.862
E07000116,Tunbridge Wells,Tier 3,117.921,1.007,97.7,14.989,2.246,5.174
E07000221,Stratford-on-Avon,Tier 3,105.305,0.668,74.4,10.861,1.398,5.348
E07000121,Lancaster,Tier 3,97.235,0.676,90.6,46.257,1.841,5.327
E09000016,Havering,Tier 2,341.743,0.916,246.1,36.085,3.285,14.444
E09000026,Redbridge,Tier 2,302.403,1.087,221.7,27.138,2.580,14.059
E07000168,Scarborough,Tier 2,294.234,0.579,228.8,26.646,2.657,10.390
E06000032,Luton,Tier 2,285.376,0.979,179.6,28.761,2.689,9.619
E07000066,Basildon,Tier 2,276.177,1.205,170.7,5.193,0.579,10.835
E09000002,Barking and Dagenham,Tier 2,264.436,1.072,274.0,33.247,3.072,11.166
E07000028,Carlisle,Tier 2,262.243,1.188,141.6,29.280,1.849,8.846
E06000020,Telford and Wrekin,Tier 2,255.763,0.722,183.5,21.501,2.626,9.421
E07000236,Redditch,Tier 2,254.513,0.705,188.3,15.639,1.910,11.458
E07000169,Selby,Tier 2,242.772,0.859,148.5,31.054,2.915,11.397
E07000239,Wyre Forest,Tier 2,240.890,0.871,146.3,16.899,2.041,8.580
E09000004,Bexley,Tier 2,235.614,0.831,169.2,14.433,1.438,10.769
E09000030,Tower Hamlets,Tier 2,229.719,0.854,241.5,13.689,1.514,12.811
E07000031,South Lakeland,Tier 2,227.428,1.017,97.8,46.804,1.876,10.036
E09000025,Newham,Tier 2,225.693,1.119,231.2,14.837,1.634,13.137
E07000068,Brentwood,Tier 2,222.017,0.872,139.7,15.314,1.417,8.574
E06000034,Thurrock,Tier 2,221.979,1.008,174.8,6.417,0.681,8.963
E07000072,Epping Forest,Tier 2,220.975,1.000,170.2,16.499,1.114,9.439
E07000154,Northampton,Tier 2,218.156,0.767,149.9,19.237,2.255,8.040
E09000010,Enfield,Tier 2,216.601,1.024,146.6,15.266,1.499,9.643
E07000155,South Northamptonshire,Tier 2,214.838,0.883,194.9,14.678,1.797,10.091
E07000081,Gloucester,Tier 2,214.516,1.145,79.7,23.853,2.092,7.412
E09000031,Waltham Forest,Tier 2,214.093,0.918,168.7,14.562,1.583,10.713
E07000126,South Ribble,Tier 3,211.214,0.824,130.7,34.706,3.325,9.609
E07000095,Broxbourne,Tier 2,208.678,0.890,137.2,13.083,1.082,8.442
E06000031,Peterborough,Tier 2,208.149,0.972,133.4,13.423,1.483,8.111
E07000212,Runnymede,Tier 2,206.880,0.869,158.7,19.230,1.057,8.639
E07000090,Havant,Tier 2,205.990,0.922,213.0,21.164,2.060,8.250
E09000009,Ealing,Tier 2,205.087,0.758,176.3,16.262,1.530,10.743
E07000234,Bromsgrove,Tier 2,204.243,0.678,146.8,19.311,2.211,8.899
E09000005,Brent,Tier 2,201.352,0.930,139.1,16.379,1.481,10.010
E09000018,Hounslow,Tier 2,201.088,1.030,147.9,12.150,1.205,10.207
E06000006,Halton,Tier 2,200.912,0.795,153.4,39.092,2.818,7.579
E07000073,Harlow,Tier 2,198.698,1.331,144.2,15.275,0.632,5.995
E06000044,Portsmouth,Tier 2,198.227,0.642,188.3,22.092,2.148,10.127
E07000069,Castle Point,Tier 2,196.955,1.085,146.9,32.687,3.904,9.334
E09000017,Hillingdon,Tier 2,195.523,0.826,152.7,17.388,2.378,9.334
E07000213,Spelthorne,Tier 2,195.305,0.771,174.3,19.886,1.100,8.758
E06000007,Warrington,Tier 2,195.225,0.681,152.8,50.139,3.470,9.413
E07000163,Craven,Tier 2,190.753,0.653,150.5,48.545,8.096,10.242
E09000011,Greenwich,Tier 2,189.274,1.060,126.0,13.144,1.184,8.138
E08000013,St. Helens,Tier 2,185.508,0.639,114.5,28.088,2.224,7.733
E06000050,Cheshire West and Chester,Tier 2,185.093,0.603,206.5,44.440,3.669,8.798
E09000024,Merton,Tier 2,178.167,1.048,125.9,14.961,1.646,9.238
E09000015,Harrow,Tier 2,176.780,0.881,113.9,18.041,1.733,9.111
E06000042,Milton Keynes,Tier 2,173.312,0.925,148.1,22.978,2.679,8.357
E07000103,Watford,Tier 2,170.848,0.943,151.4,18.841,2.231,7.259
E07000208,Epsom and Ewell,Tier 2,167.438,0.707,132.2,20.642,2.028,7.322
E07000166,Richmondshire,Tier 2,165.643,0.618,86.3,27.580,3.802,9.583
E06000049,Cheshire East,Tier 2,165.299,0.709,109.3,30.046,2.402,7.710
E07000237,Worcester,Tier 2,164.984,0.702,96.3,15.252,1.881,8.297
E07000150,Corby,Tier 2,163.394,0.781,340.2,24.533,2.166,7.146
E07000065,Wealden,Tier 2,161.635,1.292,136.6,10.924,1.455,5.688
E09000008,Croydon,Tier 2,160.585,1.008,135.8,19.180,2.673,8.058
E07000164,Hambleton,Tier 2,159.399,0.839,71.6,25.850,3.244,9.209
E09000012,Hackney and City of London,Tier 2,159.363,0.880,107.7,8.783,0.897,9.712
E09000013,Hammersmith and Fulham,Tier 2,159.336,0.743,108.3,11.487,1.025,7.296
E07000165,Harrogate,Tier 2,159.173,0.608,104.8,19.832,2.181,7.493
E09000003,Barnet,Tier 2,158.891,0.816,133.1,11.276,1.188,6.704
E07000156,Wellingborough,Tier 2,158.079,0.969,84.3,23.337,2.200,6.913
E08000012,Liverpool,Tier 2,157.818,0.567,152.3,35.900,1.883,1.804
E08000011,Knowsley,Tier 2,157.760,0.553,111.6,29.785,1.961,3.956
E06000022,Bath and North East Somerset,Tier 2,156.766,0.639,94.1,14.353,2.196,9.330
E07000153,Kettering,Tier 2,156.225,0.746,118.6,24.968,2.209,6.343
E07000064,Rother,Tier 2,156.120,1.172,136.9,10.002,1.418,5.195
E06000051,Shropshire,Tier 2,155.971,0.641,100.3,20.125,2.367,6.589
E07000202,Ipswich,Tier 2,153.382,1.795,144.9,15.529,1.663,4.566
E09000021,Kingston upon Thames,Tier 2,153.233,0.812,142.9,22.565,1.730,8.733
E08000014,Sefton,Tier 2,153.034,0.544,134.4,40.558,2.556,3.901
E07000228,Mid Sussex,Tier 2,148.985,1.018,88.1,10.590,0.827,5.932
E09000029,Sutton,Tier 2,148.777,0.814,100.6,20.231,2.084,7.279
E06000058,"Bournemouth, Christchurch and Poole",Tier 2,148.736,0.620,138.4,0.400,0.061,6.490
E07000214,Surrey Heath,Tier 2,147.808,0.886,118.5,10.961,1.439,6.238
E07000217,Woking,Tier 2,146.836,0.914,131.1,17.679,1.026,7.047
E06000038,Reading,Tier 2,145.259,0.900,103.1,12.557,1.256,6.492
E06000030,Swindon,Tier 2,143.569,0.655,84.7,13.080,1.742,8.556
E07000149,South Norfolk,Tier 2,143.384,0.637,93.8,8.891,1.294,6.932
E07000083,Tewkesbury,Tier 2,143.129,0.938,85.7,22.495,1.982,6.185
